"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"13-Apr-2006","-","-","-","     2756.56","        8610032","          578.27"
"17-Apr-2006","-","-","-","     2789.26","        4238615","          301.90"
"18-Apr-2006","-","-","-","     2843.91","        5303947","          399.85"
"19-Apr-2006","-","-","-","     2866.56","        6806542","          462.41"
"20-Apr-2006","-","-","-","     2835.79","        5529539","          360.36"
"21-Apr-2006","-","-","-","     2859.46","        8573412","          523.71"
"24-Apr-2006","-","-","-","     2815.10","        5288848","          214.89"
"25-Apr-2006","-","-","-","     2743.76","        8535212","          336.83"
"26-Apr-2006","-","-","-","     2773.48","        7722475","          317.51"
"27-Apr-2006","-","-","-","     2747.08","        8282896","          375.29"
"28-Apr-2006","-","-","-","     2763.57","        7525129","          274.04"
"29-Apr-2006","-","-","-","     2795.24","        1515805","           75.17"
"02-May-2006","-","-","-","     2905.10","       10400000","          719.16"
"03-May-2006","-","-","-","     2911.07","        6045308","          373.85"
"04-May-2006","-","-","-","     2919.44","        5015840","          229.84"
"05-May-2006","-","-","-","     2947.46","        4129896","          203.36"
"08-May-2006","-","-","-","     2950.05","        6288438","          289.05"
"09-May-2006","-","-","-","     2943.21","        3617672","          192.26"
"10-May-2006","-","-","-","     2939.30","        2529522","          143.07"
"11-May-2006","-","-","-","     2898.76","        2066498","           96.17"
"12-May-2006","-","-","-","     2898.23","        3538140","          178.49"
"15-May-2006","-","-","-","     2800.89","        2854113","          166.92"
"16-May-2006","-","-","-","     2793.90","        4270347","          217.30"
"17-May-2006","-","-","-","     2833.92","        3370672","          138.32"
"18-May-2006","-","-","-","     2682.41","        5167671","          252.33"
"19-May-2006","-","-","-","     2529.88","        5117220","          221.55"
"22-May-2006","-","-","-","     2454.78","       10000000","          311.24"
"23-May-2006","-","-","-","     2530.20","        7847967","          263.94"
"24-May-2006","-","-","-","     2535.47","        8216255","          336.25"
"25-May-2006","-","-","-","     2496.77","        8655634","          403.55"
"26-May-2006","-","-","-","     2539.90","        4476957","          187.37"
"29-May-2006","-","-","-","     2522.46","        2668077","          102.45"
"30-May-2006","-","-","-","     2507.59","        3532959","          133.24"
"31-May-2006","-","-","-","     2438.31","        5621428","          222.32"
"01-Jun-2006","-","-","-","     2378.52","        5778191","          222.09"
"02-Jun-2006","-","-","-","     2433.88","        4991538","          184.04"
"05-Jun-2006","-","-","-","     2390.24","        3145331","          133.67"
"06-Jun-2006","-","-","-","     2303.26","        5937438","          184.81"
