"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"18-Aug-2011","     4552.80","     4562.65","     4463.90","     4476.25","        3693173","          175.07"
"19-Aug-2011","     4429.85","     4469.70","     4366.95","     4418.95","        5126138","          286.25"
"22-Aug-2011","     4416.10","     4476.30","     4377.30","     4469.95","        4015234","          186.32"
"23-Aug-2011","     4485.40","     4504.00","     4425.75","     4448.95","        4005368","          172.55"
"24-Aug-2011","     4447.90","     4500.10","     4429.60","     4441.30","        4946726","          203.27"
"25-Aug-2011","     4476.40","     4487.95","     4439.95","     4452.60","        6870964","          357.05"
"26-Aug-2011","     4458.00","     4501.45","     4374.15","     4412.20","        5178049","          264.11"
"29-Aug-2011","     4420.35","     4490.20","     4420.35","     4445.80","        3863524","          188.69"
"30-Aug-2011","     4457.10","     4532.85","     4441.80","     4524.30","        5676507","          277.84"
"02-Sep-2011","     4596.60","     4615.85","     4569.85","     4587.95","        8543261","          427.87"
"05-Sep-2011","     4577.90","     4584.10","     4536.35","     4556.95","        6664898","          316.65"
"06-Sep-2011","     4551.90","     4562.25","     4521.50","     4545.95","        5211399","          283.21"
"07-Sep-2011","     4557.45","     4571.35","     4540.35","     4558.15","        6616570","          313.15"
"08-Sep-2011","     4560.55","     4618.05","     4560.55","     4592.90","        5791403","          282.88"
"09-Sep-2011","     4601.50","     4625.30","     4540.50","     4551.25","        4767526","          230.51"
"12-Sep-2011","     4531.10","     4538.15","     4466.10","     4530.35","        4151508","          179.11"
"13-Sep-2011","     4539.05","     4602.60","     4492.35","     4504.30","        4512879","          198.99"
"14-Sep-2011","     4526.35","     4556.50","     4493.80","     4528.80","        7951077","          388.98"
"15-Sep-2011","     4553.45","     4558.95","     4503.00","     4543.85","        3561472","          190.17"
"16-Sep-2011","     4545.35","     4580.20","     4533.10","     4567.25","        6602629","          339.86"
"19-Sep-2011","     4583.85","     4583.85","     4499.80","     4522.90","        4453713","          186.33"
"20-Sep-2011","     4535.05","     4592.85","     4514.40","     4582.15","        4150503","          209.10"
"21-Sep-2011","     4579.85","     4617.95","     4578.70","     4595.45","        5229636","          261.58"
"22-Sep-2011","     4571.55","     4571.55","     4489.65","     4503.20","        3748979","          199.60"
"23-Sep-2011","     4480.00","     4512.70","     4452.10","     4487.40","        4758604","          231.51"
"26-Sep-2011","     4503.15","     4503.15","     4422.65","     4486.55","        4252113","          195.96"
"27-Sep-2011","     4502.65","     4534.15","     4500.40","     4511.75","        3971071","          194.91"
"28-Sep-2011","     4539.20","     4552.75","     4487.20","     4544.60","        4452026","          215.62"
"29-Sep-2011","     4539.05","     4549.35","     4506.40","     4539.70","        6175066","          298.72"
"30-Sep-2011","     4541.25","     4557.75","     4494.85","     4520.95","        5796045","          279.17"
"03-Oct-2011","     4498.05","     4522.60","     4447.05","     4499.70","        3438948","          168.83"
"04-Oct-2011","     4498.40","     4517.50","     4440.25","     4449.90","        5117779","          239.84"
"05-Oct-2011","     4454.85","     4520.85","     4454.85","     4494.25","        4312223","          199.34"
"07-Oct-2011","     4537.65","     4586.60","     4491.75","     4518.40","        5077426","          249.69"
"10-Oct-2011","     4520.20","     4537.60","     4484.20","     4503.70","        4637582","          217.71"
"11-Oct-2011","     4526.50","     4561.30","     4506.25","     4529.30","        5203890","          225.08"
"12-Oct-2011","     4542.25","     4578.10","     4542.25","     4567.20","        4280137","          202.06"
"13-Oct-2011","     4568.85","     4580.25","     4509.00","     4519.45","        3514251","          171.32"
"14-Oct-2011","     4508.75","     4555.50","     4504.40","     4537.90","        5812760","          261.01"
"17-Oct-2011","     4540.95","     4558.60","     4496.95","     4529.40","        4312817","          183.82"
"18-Oct-2011","     4500.40","     4518.80","     4493.60","     4504.40","        5293036","          237.46"
"19-Oct-2011","     4523.35","     4584.75","     4519.85","     4575.15","        5671370","          234.59"
"20-Oct-2011","     4559.25","     4582.00","     4550.95","     4573.80","        4852439","          218.59"
"21-Oct-2011","     4586.25","     4622.95","     4557.60","     4568.10","        5152838","          238.96"
"24-Oct-2011","     4601.35","     4633.75","     4581.45","     4588.95","        3129824","          173.41"
"25-Oct-2011","     4614.25","     4676.25","     4593.90","     4655.75","        7240956","          379.82"
"26-Oct-2011","     4671.95","     4704.15","     4655.60","     4699.30","         869130","           45.85"
"28-Oct-2011","     4748.45","     4816.35","     4748.45","     4772.45","        6204001","          330.88"
"31-Oct-2011","     4765.85","     4765.85","     4698.20","     4735.60","        4028774","          223.26"
"01-Nov-2011","     4702.60","     4757.00","     4687.95","     4699.05","        5340311","          240.42"
