"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"09-Apr-1997","        0.00","        0.00","        0.00","     1153.37","          92723","            3.24"
"10-Apr-1997","        0.00","        0.00","        0.00","     1120.65","         218788","            4.10"
"11-Apr-1997","        0.00","        0.00","        0.00","     1111.32","          79628","            1.62"
"12-Apr-1997","        0.00","        0.00","        0.00","     1133.67","          41829","            0.57"
"15-Apr-1997","        0.00","        0.00","        0.00","     1148.68","          71911","            0.72"
"17-Apr-1997","        0.00","        0.00","        0.00","     1180.94","         173060","            1.70"
"21-Apr-1997","        0.00","        0.00","        0.00","     1222.22","         576488","            4.76"
"22-Apr-1997","        0.00","        0.00","        0.00","     1221.47","         303863","            2.61"
"23-Apr-1997","        0.00","        0.00","        0.00","     1247.41","         289077","            2.36"
"24-Apr-1997","        0.00","        0.00","        0.00","     1244.50","         249763","            2.63"
"25-Apr-1997","        0.00","        0.00","        0.00","     1248.53","         229573","            2.77"
"28-Apr-1997","        0.00","        0.00","        0.00","     1277.37","         319013","            3.77"
"29-Apr-1997","        0.00","        0.00","        0.00","     1285.93","         278633","            4.83"
"30-Apr-1997","        0.00","        0.00","        0.00","     1324.93","         202647","            3.85"
"02-May-1997","        0.00","        0.00","        0.00","     1323.23","         239946","            3.37"
"05-May-1997","        0.00","        0.00","        0.00","     1289.74","         777920","           13.42"
"06-May-1997","        0.00","        0.00","        0.00","     1284.89","         280901","            3.56"
"07-May-1997","        0.00","        0.00","        0.00","     1292.76","         214477","            4.28"
"09-May-1997","        0.00","        0.00","        0.00","     1319.62","         446017","            5.65"
"12-May-1997","        0.00","        0.00","        0.00","     1334.86","         186477","            1.92"
"13-May-1997","        0.00","        0.00","        0.00","     1334.34","         337522","            2.45"
"14-May-1997","        0.00","        0.00","        0.00","     1341.43","         173682","            1.97"
"15-May-1997","        0.00","        0.00","        0.00","     1336.79","         359212","            2.91"
"16-May-1997","        0.00","        0.00","        0.00","     1352.57","         503420","            3.52"
"19-May-1997","        0.00","        0.00","        0.00","     1367.15","         189083","            2.00"
"20-May-1997","        0.00","        0.00","        0.00","     1357.16","         143640","            1.44"
